ID,URL,Title,Context,Index
72777851,https://en.wikipedia.org/wiki?curid=72777851,Bradley Goodyear,"partner Donovan, who was then also the U.S. Attorney for the Western District of New York, had his agents raid Buffalo's private Saturn Club (of which both men were members and which Goodyear was a Dean of) and confiscated large amounts of illegal liquor.
Military service.
During the War, Goodyear went overseas with the 106th Field Artillery, with whom he had earlier served in the Mexican Border campaign. During the War, he fought in France during the Battle of Verdun and by the Wars end, had advanced to the rank of Major and was the commanding officer of his regiment.
Personal life.
In 1910, Goodyear was married to Jeanette Bissell (1886–1983), a daughter of Arthur D. Bissell and Frances ""Fanny"" ( Castle) Bissell. The Goodyears lived on Bryant Street and, later, on",228027
74356448,https://en.wikipedia.org/wiki?curid=74356448,World Jenny's Day,"World Jenny's Day is an awareness day that takes place every year on 10 October, since 2020. It was founded by Jenetta Barry, who lost her sixteen-year-old daughter, Jenny, to suicide. The day was chosen as Jenny died on World Mental Health Day
Whilst bringing awareness to teen suicide - and suicide in general - World Jenny's Day specifically addresses the de-stigmatisation of conversation around suicide, and to normalise conversations between people around mental health and suicide prevention.
WJD makes use of the arts and performing arts as a way to convey their messaging, which happens throughout the year, with festivities culminating on the 10th of October.
Endorsements.
Through its various fundraising initiatives and its campaigns, WJD is actively endorsed by UK Prime Minister Rishi Sunak as well as British Gold paralympian",475164
72140684,https://en.wikipedia.org/wiki?curid=72140684,Yacov Bengo,"armored Division until the 18th of march 2018. later in the same year he became the Head of the IDF Doctrine and Training Division (J7).
In September 2019 he was promoted to the rank of Aluf and appointed as the head of the northern command, while still simultaneously serving as the head of the Doctrine and Instructions division. Then in August 2020 he was also appointed as the commander for the multidimensional maneuvering command in the Ground Forces.
In 2019 Bengo co-Published a book called ""Operational Focus: an Approach to Describe, Plan, and Manage in Contemporary Military Operations"" with Matania Tzachi, which presents a force application and build-up model in the strategic level. The book followed a series of articles he penned a couple years earlier.
In January 2022 Bengo was",117690
72954908,https://en.wikipedia.org/wiki?curid=72954908,Dutch Catholic Metal Workers' Union,"The Dutch Catholic Metal Workers' Union (), known as ""Sint Eloy"", was a trade union representing metalworkers in the Netherlands.
The union was founded on 20 April 1902. By 1964, it had 50,942 members. The union eventually broadened its remit to cover the electronics industry, and renamed itself as the Dutch Catholic Union of Employees in Metal, Electronics and Related Companies.
For most of its existence, the union was affiliated to the Dutch Catholic Trade Union Federation (NKV). On 1 January 1972, it merged with the Dutch Catholic Clothing and Textile Workers' Union, the Dutch Catholic Mineworkers' Union, and the Dutch Catholic Factory Workers' Union, to form the Industrial Workers' Union NKV.",255715
73762052,https://en.wikipedia.org/wiki?curid=73762052,List of monarchs of Magadha,"The Kingdom of Magadha, later known as the Magadha Empire, was a kingdom and later empire in ancient north India. Many houses ruled the kingdom and it's empire over the centuries until it was defeated by the Satavahana Empire in . The history of the monarchs of Magadha, particularly in the Pre-Mauryan period, is shrouded in mystery and legend with various sources claiming different things.
Kingdom of Magadha.
House of Brihadratha.
The Brihadratha dynasty was the first ruling house of Magadha. Brihadratha founded this dynasty in 1700 BCE. This dynasty lasted for more than ten centuries, ruling Magadha from 1700 to 682 BCE.
List of monarchs.
Twenty-one kings of Brihadratha house ruled Magadha beginning with Brihadratha himself.
Pre-Mauryan Era.
House of Haryanka.
The Haryanka dynasty was the third ruling house of Magadha. This dynasty was founded",386438
72123356,https://en.wikipedia.org/wiki?curid=72123356,2022–23 Iraq Division One,"Baghdad on May 26, 2023 to determine the league champion. The Al-Minaa administration demanded that the match be transferred to Basra due to the large number of fans of the Al-Minaa, so that the match would be more attended, and the Amanat Baghdad administration agreed to that. Later, the Football Association decided that the match would be held on 2 June in Al-Fayhaa Stadium.
In the final, Al-Minaa was able to defeat Amanat Baghdad, 2–1, and win the title. The goals of Al-Minaa were scored by Sajjad Alaa (6') and Salem Ahmed (37'), while the goal of Amanat Baghdad was scored by Karrar Ali Bari (53').
Al-Jinsiya (who withdrew from the start) and Al-Hawija from Group 1, and Al-Sulaikh and Al-Samawa from Group 2 were relegated to the Iraq Division",115229
72909893,https://en.wikipedia.org/wiki?curid=72909893,Nikolai Pegov,"Nikolai Pegov (Russian: Николай Пегов; 3 April 1905 – 19 April 1991) was a Soviet official and diplomat. He served as the ambassador to Iran, Algeria, and India. Being a member of the Communist Party he also held various posts at the party.
Early years and education.
Pegov was born in Moscow on 3 April 1905. His father was a clerk. Pegov began to work in 1919 and joined the Communist Party in 1930. He worked at different factories until 1935 when he enrolled at the Moscow Industrial Academy. He graduated from the academy in 1938.
Career.
Following his graduation Pegov began his party career and became the secretary of the Far Eastern Regional Committee of the All-Union Communist Party of Bolsheviks. In October 1938 he was appointed first secretary of the",248861
72337187,https://en.wikipedia.org/wiki?curid=72337187,Ben Bell,"over a bullying culture."" On 16 May, the seven councillors abandoned their attempts to hold a vote of no confidence in Bell's leadership. Instead, Hovell successfully tabled an amended motion calling for the Gore District Council to work with Local Government New Zealand (LGNZ) to develop terms of reference for an independent review to restore confidence in the Council.
On 13 June 2023, Bell submitted a petition calling for the resignation of CEO Parry. The petition was rejected by his fellow councillors, with Bell being the sole supporter. According to the ""Otago Daily Times"", the 4,800-strong petition was dominated by non-Gore residents, with Gore residents only accounting for 9% of signatures. On 21 June, Bell and his fellow councillors apologised to Parry. 
On 11 July, Bell apologised to the",153807
72102661,https://en.wikipedia.org/wiki?curid=72102661,Morag Park,"Morag Park is a breast cancer and genomics researcher at the McGill University Health Centre. Park is known for her work on the combination of genetic and epigenetic alterations that result in breast cancer progression and receptor tyrosine kinases involved in cancer. More recently, she has worked in as primary co-researcher of a Quebec cancer biobank network that creates tumor models derived from patients, allowing for research into why individual patients respond well or poorly to cancer therapies. She is currently a professor in the Gerald Bronfman Department of Oncology and a member of the Faculty of Medicine and Health Sciences at McGill University.
Education.
Park conducted her undergraduate studies at University of Glasgow and received a B.Sc. with first class honors. She received a PhD in viral carcinogenesis at",111765
74299896,https://en.wikipedia.org/wiki?curid=74299896,Cornelius Boyle,"a ""Captain"" and ordered to bring the men to Culpeper, Virginia where they arrived April 28. By May 6 Boyle had been granted a commission of Major, a rank he then held throughout the war. Initially under the command of Beauregard, Boyle was operating from a ""small white cottage"" next to the medical office in Camp Pickens near Manassas, where Lt. Col. George W. Lay wrote of Boyle's ""peculiar duties at Manassas"".
In 1862, Gen. Robert E. Lee ordered Boyle to take command as Provost Marshal of the position at Gordonsville, Virginia where he would remain. Boyle was believed to have quickly fallen into espionage, given the railroad's passage through Gordonsville enabling messages in and out of DC, and his connections with people such as Rose O'Neal Greenhow. Boyle",466513
